timestamp,bitcoin_price,bitcoin_volume,bitcoin_market_cap,bitcoin_returns,bitcoin_volatility,score,No_Comments,title_sentiment,description_sentiment,score_lag1,score_lag2,score_lag3,score_lag4,score_lag5,score_lag6,score_lag7,No_Comments_lag1,No_Comments_lag2,No_Comments_lag3,No_Comments_lag4,No_Comments_lag5,No_Comments_lag6,No_Comments_lag7,title_sentiment_lag1,title_sentiment_lag2,title_sentiment_lag3,title_sentiment_lag4,title_sentiment_lag5,title_sentiment_lag6,title_sentiment_lag7,description_sentiment_lag1,description_sentiment_lag2,description_sentiment_lag3,description_sentiment_lag4,description_sentiment_lag5,description_sentiment_lag6,description_sentiment_lag7,sentiment,sentiment1,sentiment2,sentiment3,sentiment4,sentiment5,sentiment6,sentiment7,total_sentiment
2025-03-06,90604.08098523637,51606642859.81411,1797706868227.531,0.03771899323034544,0.6289440240146866,17.633797462716952,9.0,-0.59567004,-0.8622826,17.633797462716952,17.633797462716952,8.0,17.633797462716952,17.633797462716952,12.0,17.633797462716952,9.0,9.0,0.0,9.0,9.0,17.0,9.0,-0.59567004,-0.59567004,-0.35529494,-0.59567004,-0.59567004,-0.9364665,-0.59567004,-0.8622826,-0.8622826,-0.98553574,-0.8622826,-0.8622826,-0.99737334,-0.8622826,-0.7289763,-0.7289763,-0.7289763,-0.67041534,-0.7289763,-0.7289763,-0.9669199,-0.7289763,-0.75139916
2025-03-07,90001.40087607042,47555759124.64708,1782785866811.654,-0.006651798711629353,0.6289440240146866,17.633797462716952,9.0,-0.59567004,-0.8622826,17.633797462716952,17.633797462716952,17.633797462716952,8.0,17.633797462716952,17.633797462716952,12.0,9.0,9.0,9.0,0.0,9.0,9.0,17.0,-0.59567004,-0.59567004,-0.59567004,-0.35529494,-0.59567004,-0.59567004,-0.9364665,-0.8622826,-0.8622826,-0.8622826,-0.98553574,-0.8622826,-0.8622826,-0.99737334,-0.7289763,-0.7289763,-0.7289763,-0.7289763,-0.67041534,-0.7289763,-0.7289763,-0.9669199,-0.75139916
2025-03-08,86773.33597555371,63216440874.73251,1720436931689.2776,-0.03586682950592812,0.6289440240146866,7.0,9.0,-0.9639653,-0.9986962,17.633797462716952,17.633797462716952,17.633797462716952,17.633797462716952,8.0,17.633797462716952,17.633797462716952,9.0,9.0,9.0,9.0,0.0,9.0,9.0,-0.59567004,-0.59567004,-0.59567004,-0.59567004,-0.35529494,-0.59567004,-0.59567004,-0.8622826,-0.8622826,-0.8622826,-0.8622826,-0.98553574,-0.8622826,-0.8622826,-0.98133075,-0.7289763,-0.7289763,-0.7289763,-0.7289763,-0.67041534,-0.7289763,-0.7289763,-0.7532005
2025-03-09,86142.9833586432,18809360803.37126,1708605516770.228,-0.0072643584555524,0.6289440240146866,17.633797462716952,9.0,-0.59567004,-0.8622826,7.0,17.633797462716952,17.633797462716952,17.633797462716952,17.633797462716952,8.0,17.633797462716952,9.0,9.0,9.0,9.0,9.0,0.0,9.0,-0.9639653,-0.59567004,-0.59567004,-0.59567004,-0.59567004,-0.35529494,-0.59567004,-0.9986962,-0.8622826,-0.8622826,-0.8622826,-0.8622826,-0.98553574,-0.8622826,-0.7289763,-0.98133075,-0.7289763,-0.7289763,-0.7289763,-0.7289763,-0.67041534,-0.7289763,-0.7532005
2025-03-10,80751.13893300897,32013406240.51754,1602073794580.0344,-0.06259180046256474,0.6289440240146866,4.0,1.0,-0.35529494,-0.98553574,17.633797462716952,7.0,17.633797462716952,17.633797462716952,17.633797462716952,17.633797462716952,8.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,-0.59567004,-0.9639653,-0.59567004,-0.59567004,-0.59567004,-0.59567004,-0.35529494,-0.8622826,-0.9986962,-0.8622826,-0.8622826,-0.8622826,-0.8622826,-0.98553574,-0.67041534,-0.7289763,-0.98133075,-0.7289763,-0.7289763,-0.7289763,-0.7289763,-0.67041534,-0.74588037
2025-03-11,78783.94057934263,49983692766.22745,1563547150147.7332,-0.024361245917513652,0.6289440240146866,17.633797462716952,9.0,-0.59567004,-0.8622826,4.0,17.633797462716952,7.0,17.633797462716952,17.633797462716952,17.633797462716952,17.633797462716952,1.0,9.0,9.0,9.0,9.0,9.0,9.0,-0.35529494,-0.59567004,-0.9639653,-0.59567004,-0.59567004,-0.59567004,-0.59567004,-0.98553574,-0.8622826,-0.9986962,-0.8622826,-0.8622826,-0.8622826,-0.8622826,-0.7289763,-0.67041534,-0.7289763,-0.98133075,-0.7289763,-0.7289763,-0.7289763,-0.7289763,-0.7532005
2025-03-12,82799.1080292053,56404462275.083046,1642997419531.6057,0.050964288157419935,0.6289440240146866,0.0,19.0,-0.99897134,-0.9981228,17.633797462716952,4.0,17.633797462716952,7.0,17.633797462716952,17.633797462716952,17.633797462716952,9.0,1.0,9.0,9.0,9.0,9.0,9.0,-0.59567004,-0.35529494,-0.59567004,-0.9639653,-0.59567004,-0.59567004,-0.59567004,-0.8622826,-0.98553574,-0.8622826,-0.9986962,-0.8622826,-0.8622826,-0.8622826,-0.9985471,-0.7289763,-0.67041534,-0.7289763,-0.98133075,-0.7289763,-0.7289763,-0.7289763,-0.7868968
2025-03-13,83884.24578828987,41782186208.59073,1662502658717.542,0.013105669673419973,0.6289440240146866,22.0,28.0,0.9971757,-0.21519321,0.0,17.633797462716952,4.0,17.633797462716952,7.0,17.633797462716952,17.633797462716952,19.0,9.0,1.0,9.0,9.0,9.0,9.0,-0.99897134,-0.59567004,-0.35529494,-0.59567004,-0.9639653,-0.59567004,-0.59567004,-0.9981228,-0.8622826,-0.98553574,-0.8622826,-0.9986962,-0.8622826,-0.8622826,0.39099124,-0.9985471,-0.7289763,-0.67041534,-0.7289763,-0.98133075,-0.7289763,-0.7289763,-0.6469009
2025-03-14,81098.90052436228,32583592654.882656,1608477373718.186,-0.033204629042709044,0.6289440240146866,17.633797462716952,9.0,-0.59567004,-0.8622826,22.0,0.0,17.633797462716952,4.0,17.633797462716952,7.0,17.633797462716952,28.0,19.0,9.0,1.0,9.0,9.0,9.0,0.9971757,-0.99897134,-0.59567004,-0.35529494,-0.59567004,-0.9639653,-0.59567004,-0.21519321,-0.9981228,-0.8622826,-0.98553574,-0.8622826,-0.9986962,-0.8622826,-0.7289763,0.39099124,-0.9985471,-0.7289763,-0.67041534,-0.7289763,-0.98133075,-0.7289763,-0.6469009
2025-03-15,83971.70916064628,28571483950.074646,1665725559905.8198,0.03542352137586624,0.6289440240146866,17.633797462716952,9.0,-0.59567004,-0.8622826,17.633797462716952,22.0,0.0,17.633797462716952,4.0,17.633797462716952,7.0,9.0,28.0,19.0,9.0,1.0,9.0,9.0,-0.59567004,0.9971757,-0.99897134,-0.59567004,-0.35529494,-0.59567004,-0.9639653,-0.8622826,-0.21519321,-0.9981228,-0.8622826,-0.98553574,-0.8622826,-0.9986962,-0.7289763,-0.7289763,0.39099124,-0.9985471,-0.7289763,-0.67041534,-0.7289763,-0.98133075,-0.6469009
